Country,PopulationSize,TotalCases,TotalDeaths,PopulationInfectedPercentage,PopulationDeathPercentage,DeathRatePercentage
Cote d'Ivoire,28160548,88354,835,0.31375,0.00297,0.94506
Angola,35588996,106002,1936,0.29785,0.00544,1.82638
Haiti,11585003,34493,860,0.29774,0.00742,2.49326
Guinea,13859349,38569,468,0.27829,0.00338,1.21341
Eritrea,3684041,10189,103,0.27657,0.0028,1.01089
Central African Republic,5579148,15367,113,0.27544,0.00203,0.73534
Syria,22125242,57423,3163,0.25954,0.0143,5.50825
Nicaragua,6948395,16077,245,0.23138,0.00353,1.52392
Madagascar,29611718,68386,1426,0.23094,0.00482,2.08522
Benin,13352864,28036,163,0.20996,0.00122,0.5814
Tajikistan,9952789,17786,125,0.1787,0.00126,0.7028
South Sudan,10913172,18595,138,0.17039,0.00126,0.74213
Somalia,17597508,27334,1361,0.15533,0.00773,4.97915
Liberia,5302690,8090,294,0.15256,0.00554,3.63412
Mali,22593598,33161,743,0.14677,0.00329,2.24058
Sudan,46874200,63993,5046,0.13652,0.01076,7.88524
Nigeria,218541216,267163,3155,0.12225,0.00144,1.18093
Democratic Republic of Congo,99010216,99226,1468,0.10022,0.00148,1.47945
Burkina Faso,22673764,22093,398,0.09744,0.00176,1.80148
Sierra Leone,8605723,7766,126,0.09024,0.00146,1.62246
Tanzania,65497752,43087,846,0.06578,0.00129,1.96347
Chad,17723312,7698,194,0.04343,0.00109,2.52014
Niger,26207982,9515,315,0.03631,0.0012,3.31056
Yemen,33696612,11945,2159,0.03545,0.00641,18.07451
